fecha,evento,tipo,descripcion
2021-07-28,Asume la presidencia,inicio,Pedro Castillo asume con 50.13% de los votos. Gana por 44.263 votos a Keiko Fujimori.
2021-11-01,1ª vacancia fallida,vacancia,Congreso intenta vacarlo. 46 votos a favor de 87 necesarios.
2022-03-28,2ª vacancia fallida,vacancia,Segundo intento. 55 votos. En 17 meses: 5 gabinetes y más de 80 cambios de ministros.
2022-12-07,Autogolpe y detención,crisis,A las 11:48h anuncia disolución del Congreso. Vacado con 101 votos. Detenido en avenida Garcilaso de la Vega cuando intentaba llegar a embajada de México.
2025-11-27,Condenado a 11 años,condena,Sala Penal Especial condena a 11 años 5 meses y 15 días por conspiración para la rebelión. Recluido en penal Barbadillo.
